,dates,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
0,'2020-02-16',7.105,4.346,13.413,-0.997,0,-1.103
1,'2020-02-17',6.098,5.025,20.47,-4.047,0.94,4.847
2,'2020-02-18',-1.591,2.074,-5.912,0.197,-23.581,0.014
3,'2020-02-19',-1.903,0.526,-19.23,-4.134,1.44,0.983
4,'2020-02-20',-3.225,-0.8,-25.544,-7.023,2.608,1.575
5,'2020-02-21',-0.113,5.466,4.185,-1.785,4.091,-1.321
6,'2020-02-22',4.627,7.319,4.578,-0.806,2.184,-1.657
7,'2020-02-23',4.696,3.993,3.993,-1.994,1.047,-0.214
8,'2020-02-24',3.55,5.754,10.675,0.164,4.387,-1.166
9,'2020-02-25',6.743,6.189,15.315,-0.254,2.348,-1.333
10,'2020-02-26',11.777,7.524,2.691,0.651,3.488,-1.812
11,'2020-02-27',9.899,8.603,17.636,1.102,0.952,-1.611
12,'2020-02-28',6.851,12.719,10.664,4.003,4.081,-3.143
13,'2020-02-29',9.922,13.167,4.259,2.85,3.113,-3.148
14,'2020-03-01',13.124,12.222,9.488,-0.565,1.663,-1.908
15,'2020-03-02',8.646,13.508,4.897,0.766,4.392,-2.004
16,'2020-03-03',10.173,15.676,8.39,1.352,1.719,-1.554
17,'2020-03-04',8.661,8.714,1.233,0.085,2.497,-0.309
18,'2020-03-05',8.447,10.42,27.649,4.076,1.095,-1.815
19,'2020-03-06',3.443,9.942,11.834,4.539,2.644,-2.22
20,'2020-03-07',3.887,8.675,-4.868,2.044,0.833,-2.347
21,'2020-03-08',5.529,4.205,13.413,-1.362,-0.216,-1.456
22,'2020-03-09',6.087,6.202,-4.512,-7.411,-17.577,3.191
23,'2020-03-10',9.238,7.691,45.89,-1.888,-18.581,2.373
24,'2020-03-11',11.168,10.696,51.915,-2.945,-17.727,1.909
25,'2020-03-12',8.721,20.696,44.944,-4.765,-20.992,2.504
26,'2020-03-13',-1.032,36.035,6.794,-7.293,-19.937,3.186
27,'2020-03-14',-9.176,17.544,-22.079,-8.52,-4.139,1.518
28,'2020-03-15',-10.048,9.615,-26.861,-15.417,-6.685,2.77
29,'2020-03-16',-5.434,21.222,-6.438,-15.725,-19.699,6.634
30,'2020-03-17',-11.877,17.228,-5.011,-17.638,-25.048,9.489
31,'2020-03-18',-15.164,15.963,-3.364,-21.037,-26.968,11.072
32,'2020-03-19',-27.227,15.942,-9.956,-27.791,-32.736,13.817
33,'2020-03-20',-36.024,13.084,-56.335,-34.501,-34.335,17.603
34,'2020-03-21',-46.54,-4.219,-80.812,-42.599,-27.619,14.885
35,'2020-03-22',-45.073,-9.192,-66.145,-43.262,-31.159,12.22
36,'2020-03-23',-31.784,1.857,-23.277,-33.856,-38.11,15.603
37,'2020-03-24',-29.663,5.846,-18.243,-31.98,-42.894,17.056
38,'2020-03-25',-45.433,-18.236,-29.265,-41.933,-48.226,21.672
39,'2020-03-26',-43.455,-15.678,-22.756,-41.039,-49.806,21.702
40,'2020-03-27',-45.656,-13.725,-38.112,-41.335,-47.896,22.688
41,'2020-03-28',-49.314,-18.018,-59.979,-44.7,-36.403,16.16
42,'2020-03-29',-48.792,-23.92,-47.817,-47.648,-39.215,13.656
